Monster,Source,# Enc.,Move,AC,HD,# Attacks,Attack Types,Damage,Save,Morale,XP,Notes
"Drake, Fire",FF,2d4(2d4),F180'(60'),5(14),4,1,bite,2d4,F4,8,135,See Dragon Sub-table. Ground movement 60'(20').
"Drake, Ice",FF,1d4(1d4),F150'(50'),1(18),3+3,3,claws/bite,1d3/1d3/1d6,F3,8,135,See Dragon Sub-table. Ground movement 90'(30'). Spell-like abilities.
Drelb,M2,1(1),60'(20'),2(17),5+3,1,touch,3d4+chill,F5,10,"1,060",Magic weapons to hit. Chill causes victim to drop for 1rd.
Dryad,L1,0(1d6),120'(40'),5(14),2,1,charm,0,F4,6,29,Charm person (SNeg).
Dun Pudding,M2,1(1d3),120'(40'),7(12),8+1,1,corrosion,4d6,F8,12,"2,420",Only harmed by fire. Normal blows cause it to split.
Dust Digger,M2,1d20(1d20),30'(10'),4(15),4,1,crush,1d8,F2,10,135,Closes around victim and does 1d8Dam/rd.
Dwarf,L1,1d6(5d8),60'(20'),4(15),1,1,weapon,Weapon,D1,8,10,In a group of 20+ there will be a 1d6+2 level leader.
"Dwarf, Duergar",L2,2d4(1d00+100),60'(20'),4(15),1+2,1,weapon,Weapon,F1,8,21,Surprises on 1-3. -2 to hit in bright light.
"Eagle, Giant",L2,1d6(1d20),F480'(160'),7(12),4,3,claws/bite,1d6/1d6/2d6,F4,8,80,Dive 2d6Dam/claw but no bite. Ground movement 30'(10').
Ear Seeker,L2,1d4(1d4),10'(3'),9(10),1hp,0,,0,F1,NA,5,Lay eggs in host 90% fatal. Cure disease removes.
"Eel, Electric",L2,1d3(1d3),S120'(40'),9(10),2,1,bite,1d4,F2,7,29,"Shock 1/turn 5' 3d8Dam, 5-10' 2d8Dam, 10-15' 1d8Dam."
"Eel, Giant",L2,1d4(1d4),S90'(30'),6(13),5,1,bite,3d6,F5,8,200,
"Eel, Sea",L2,0(1d6x10),S150'(50'),8(11),1-1,1,bite,1+poison,F1,7,6,Poison (SorD).
Efreeti,L1,1(1),F240'(80'),3(16),10,1,sword,2d8,F15,12,"4,500",Pillar of flame 5'R 1d8Dam upto 3rds. Spell-like abilities.
"Elemental, Air8HD",L1,1(1),F360'(120'),2(17),8,1,blast,1d8,F8,10,"1,570",Magic weapons to hit. Carry away creatures <2HD +1d8Dam.
"Elemental, Air12HD",L1,1(1),F360'(120'),0(19),12,1,blast,2d8,F12,10,"2,800",Magic weapons to hit. Carry away creatures <2HD +1d8Dam.
"Elemental, Air16HD",L1,1(1),F360'(120'),-2(21),16,1,blast,3d8,F16,10,"3,300",Magic weapons to hit. Carry away creatures <2HD +1d8Dam.
"Elemental, Earth8HD",L1,1(1),60'(20'),2(17),8,1,fist,1d8,F8,10,"1,570",Magic weapons to hit. +1d8Dam against victims on ground.
"Elemental, Earth12HD",L1,1(1),60'(20'),0(19),12,1,fist,2d8,F12,10,"2,800",Magic weapons to hit. +1d8Dam against victims on ground.
"Elemental, Earth16HD",L1,1(1),60'(20'),-2(21),16,1,fist,3d8,F16,10,"3,300",Magic weapons to hit. +1d8Dam against victims on ground.
"Elemental, Fire8HD",L1,1(1),120'(40'),2(17),8,1,flames,1d8,F8,10,"1,570",Magic weapons to hit. +1d8Dam against cold-based victims.
"Elemental, Fire12HD",L1,1(1),120'(40'),0(19),12,1,flames,2d8,F12,10,"2,800",Magic weapons to hit. +1d8Dam against cold-based victims.
"Elemental, Fire16HD",L1,1(1),120'(40'),-2(21),16,1,flames,3d8,F16,10,"3,300",Magic weapons to hit. +1d8Dam against cold-based victims.
"Elemental, Time12HD",M2,1(1),10'(3'),2(17),12,1,dust spray,3d4,F12,10,"3,600",+3 weapons to hit. 1d4 attacks from other times.
"Elemental, Time16HD",M2,1(1),10'(3'),2(17),16,1,dust spray,4d4,F16,10,"4,200",+3 weapons to hit. 1d4 attacks from other times.
"Elemental, Water8HD",L1,1(1),S180'(60'),2(17),8,1,water jet,1d8,F8,10,"1,570",Magic weapons to hit. +1d8Dam against victims in water.
"Elemental, Water12HD",L1,1(1),S180'(60'),0(19),12,1,water jet,2d8,F12,10,"2,800",Magic weapons to hit. +1d8Dam against victims in water.
"Elemental, Water16HD",L1,1(1),S180'(60'),-2(21),16,1,water jet,3d8,F16,10,"3,300",Magic weapons to hit. +1d8Dam against victims in water.
Elephant,L1,0(1d20),120'(40'),5(14),9,2or1,tusks/trample,2d4/2d4/4d8,F5,8,"2,400",75% likely to trample at +4 to hit vs ≤   human-sized targets.
Elf,L1,1d4(2d12),120'(40'),5(14),1+1,1,weapon,Weapon,E1,8,15,In a group of 20+ there will be a 1d6+1 level leader.
"Elf, Deep",L2,1d10(4d12),120'(40'),5(14),1,1,weapon,Weapon,F1,7,10,-2 to hit in bright light.
"Elf, Drow",L2,2d4(5d10),120'(40'),4(15),2,1,weapon,Weapon,F2,10,38,-2 to hit in bright light. Spell-like abilities.
Ettin,L1,1d2(1d4),120'(40'),3(16),10,2,clubs,2d8/3d6,F10,9,"1,700",Only surprised on 1.
Executioner's Hood2HD,M2,1(1),60'(20'),6(13),2+2,1,strangle,1d4,F2,12,71,Surprises on 1-3. Ongong 1d4Dam/rd. Immune to sleep.
Executioner's Hood4HD,M2,1(1),60'(20'),6(13),4+4,1,strangle,1d4,F4,12,365,Surprises on 1-3. Ongong 1d4Dam/rd. Immune to sleep.
Executioner's Hood6HD,M2,1(1),60'(20'),6(13),6+6,1,strangle,1d4,F6,12,"1,280",Surprises on 1-3. Ongong 1d4Dam/rd. Immune to sleep.
"Eye, Floating",L2,1d12(1d12),S300'(100'),9(10),½,1,gaze,0,F1,6,6,Eye hypnotizes (stuns) creatures (SNeg).
Eye of the Deep,L2,1(1),S60'(20'),5(14),10-12,3,pincers/bite,2d4/2d4/1d6,F10-12,8,"3,800",2 eye rays. Spell-like effects.
"Eye, Tentacled",L2,1(1),90'(30'),4(15),14-16,8or1,tentacles/bite,1d8each/2d6,F14-16,10,"4,200",Each tentacle has 2d6+4hp.Tentacle hits entangle victims.
Eye of Terror,L2,1(1),F60'(20'),0(19),10-12,3,tentacles/bite,1d6/1d6/2d4,F10-12,9,"7,300",Poison tentacles (SorD). 8 eye stalks with spell-like effects.
"False Spider, Large",M2,1d6(1d6),90'(30'),6(13),3+3,2or1,legs/bite,0/0/2d4,F2,8,100,Legs do 0Dam but hold victims to give +3 to hit with bite.
"False Spider, Huge",M2,1d6(1d6),90'(30'),5(14),5+5,2or1,legs/bite,0/0/3d4,F3,8,460,Legs do 0Dam but hold victims to give +3 to hit with bite.
"False Spider, Giant",M2,1d4(1d4),120'(40'),4(15),6+6,2or1,legs/bite,0/0/4d4,F4,8,680,Legs do 0Dam but hold victims to give +3 to hit with bite.
"Ferret, Giant",L1,1d8(1d12),150'(50'),5(14),1+1,1,bite,1d8,F1,8,15,
Fire Snake,FF,1d6(1d6),40'(13'),6(13),2,1,bite,1d4+paralysis,F2,8,38,Surprises on 1-4. Bite paralysis 2d4turns (SNeg).
"Fish, Gt.Catfish",L1,0(1d2,S90'(30'),4(15),8+3,5,feelers/bite,1d4each/2d8,F4,8,620,
"Fish, Gt.Piranha",L1,0(2d4),S150'(50'),6(13),3+3,1,bite,1d8,F2,7,65,Morale increases to 12 if they catch the scent of blood.
"Fish, Gt.Rockfish",L1,0(2d4),S180'(60'),7(12),5+5,4,spines,1d4each+poison,F3,8,460,Poison spines (SorD).
"Fish, Gt.Sturgeon",L1,0(1),S180'(60'),0(19),10+2,1,bite,2d10,F5,9,"1,700",To hit roll of 18+ swallows whole ongoing 2d6Dam/rd.
Flail Snail4HD,FF,1(1),30'(10'),4(15),4,4,tentacles,1d8each,F4,10,245,Tentacles have 1d8hp. Anti-magic shell(AC-8). Immune to fire.
Flail Snail5HD,FF,1(1),30'(10'),4(15),5,5,tentacles,1d8each,F5,10,650,Tentacles have 1d8hp. Anti-magic shell(AC-8). Immune to fire.
Flail Snail6HD,FF,1(1),30'(10'),4(15),6,6,tentacles,1d8each,F6,10,"1,070",Tentacles have 1d8hp. Anti-magic shell(AC-8). Immune to fire.
Flightless Bird1HD,L2,2d10(2d10),180'(60'),7(12),1,1,bite/claws,1d4,F1,8,10,Smaller birds including the rhea.
Flightless Bird2HD,L2,2d10(2d10),180'(60'),7(12),2,1,bite/claws,1d6,F2,8,20,Medium birds including the emu.
Flightless Bird3HD,L2,2d10(2d10),180'(60'),7(12),3,1,bite/claws,2d4,F3,8,50,Larger birds including the ostrich.
Flind,FF,2d12(2d12),120'(40'),5(14),2+3,1,club,1d6,F2,8,47,+1 to hit bonus. 25% have iron bars 1d4Dam and disarm (SNeg).
Flumph,FF,2d8(2d8),F60'(20'),0(19),2,1,spikes,1d8+acid,F2,7,29,Acid +1d4Dam. Foul spray R20'. Underside AC8.
"Fly, Gt.Carnivorous",L1,1d6(2d6),F180'(60'),6(13),2,1,bite,1d8,F1,8,29,Surprises on 1-4. Ground movement 90'(30').
Foo Dog,M2,2d4(2d4),270'(90'),0(19),7+7,3,claws/bite,1d4+1/1d4+1/1d12,F7,9,"1,900",Invisibility. Become ethereal. Roar 20% chance of summoning more.
Foo Lion,M2,1d4(1d4),210'(70'),-1(20),11+11,3,claws/bite,2d4/2d4/2d8,F11,9,"5,000",Invisibility. Become ethereal. Roar 20% chance of summoning more.
Forester's Bane,M2,1d2(1d2),0'(0'),4(15),5,3to6,stalks,1d4+1each,F5,NA,350,"Stalks AC4, leaves AC7, bush AC9. Roll under STR to break free."
"Frog, Giant1HD",L2,5d8(5d8),S90'(30'),7(12),1,1,bite,1d3,F1,7,13,Surprises on 1-4. 60' leap+attack. Tounge grabs at +4.
"Frog, Giant2HD",L2,5d8(5d8),S90'(30'),7(12),2,1,bite,1d6,F2,7,29,Surprises on 1-4. 60' leap+attack. Tounge grabs at +4.
"Frog, Giant3HD",L2,5d8(5d8),S90'(30'),7(12),3,1,bite,2d4,F3,7,65,Surprises on 1-4. 60' leap+attack. Tounge grabs at +4.
"Frog, Gt.Killer",L2,3d6(3d6),S120'(40'),8(11),1+4,3,claws/bite,1d2/1d2/1d4+1,F1,7,21,Ground movement 60'(20').
"Frog, Gt.Poisonous",L2,2d6(2d6),S90'(30'),8(11),1,1,bite,1+poison,F1,7,13,Poison (SorD+4). Ground movement 30'(10').
Froghemoth,M2,1(1),40'(13'),2(17),16,4or1,tentacles/bite,1d4+4each/5d10,F16,10,"4,200","Tentacles AC2, body AC4, tongue AC6. Swallow whole on 19+."
Frost Man,FF,1(1),120'(40'),5(14),4,1,weapon,Weapon,F4,8,135,Ice blast 3/day R35'x10' 3d6Dam (S½).
"Fungi, Violet",L2,1d4(1d4),10'(3'),7(12),3,1to4,tentacles,Rot,F3,8,80,Slime on tenacles rots victim to a corpse in 1 round (SNeg).
Gambado,FF,1d8(1d8),J120'(40'),6(13),4,3,claws/bite,1d4/1d4/1d8,F4,8,80,First surprise attack from its pit is bite only.
Gargoyle,L1,1d6(2d4),F150'(50'),5(14),4,4,claws/bite/gore,1d3/1d3/1d6/1d4,F8,11,500,Magic weapons to hit. Ground Movement 90'(30').
Gargoyle 4-Armed,ToH,1d4(1d6),F150'(50'),3(16),6,4,claws/bite/gore,1d4x4/1d6/1d4,F12,11,820,Magic weapons to hit. Ground Movement 90'(30').
Gas Spore,L2,1d3(1d3),F30'(10'),9(10),1hp,1,spores,Infection,F1,12,6,Dies after attacking. Victim dies in 24hours. Explodes if struck 6d6Dam.
Gelatinous Cube,L1,1(0),60'(20'),8(11),4,1,slam,2d4+paralysis,F2,12,245,Surprises on 1-4. Paralysis lasts 2d4turns (SNeg).
Ghast,L2,1d6(1d6),150'(50'),4(15),4,3,claws/bite,1d4/1d4/1d8,F4,9,190,Bite paralyzes for 2d4turns (SNeg). Sickening stench 10'R (SNeg).
Ghost,L2,1(1),90'(30'),0(19),10,1,fear,Ageing,F10,10,"3,100",Immune to attacks. A hit ages a victim 1d4x10 years.
Ghoul,L1,1d6(2d8),90'(30'),6(13),2,3,claws/bite,1d3/1d3/1d3,F2,9,47,Any hit paralyzes for 2d4turns (SNeg). Turns as 3HD.
"Giant, Hill",L1,1d4(2d4),120'(40'),4(15),8,1,weapon,2d8,F8,8,560,
"Giant, Stone",L1,1d2(1d6),120'(40'),4(15),9,1,weapon,3d6,F9,9,"1,700",Throw rocks R300' 3d6Dam.
"Giant, Frost",L1,1d2(1d4),120'(40'),4(15),10+1,1,weapon,4d6,F10,9,"1,700",Throw rocks R200' 3d6Dam. Immune to cold.
"Giant, Fire",L1,1d2(1d3),120'(40'),4(15),11+2,1,weapon,5d6,F11,9,"2,000",Throw rocks R200' 3d6Dam. Immune to heat.
"Giant, Cloud",L1,1d2(1d3),120'(40'),4(15),12+3,1,weapon,6d6,F12,10,"2,000",Only suurprised on 1. Throw rocks R200' 3d6Dam.
"Giant, Storm",L1,1(1d3),150'(50'),2(17),15,1,weapon,8d6,F15,10,"3,300",In thunder storms Lightning bolt 1/5rds Dam=to giant's hp.
Gloomwing,M2,1(1),F120'(40'),1(18),5+1,3,claws/bite,1d3/1d3/1d8,F5,8,860,Surprises on 1-3. Causes confusion. Pheromones cause weakness.
Gnoll,L1,1d6(3d6),90'(30'),5(14),2,1,weapon,Weapon+1,F2,8,29,In a group of 20+ there will be a 3HD 16hp leader.
Gnome,L1,1d8(5d8),60'(20'),5(14),1,1,weapon,Weapon,D1,8,10,Extended infravision 90'.
Goblin,L1,2d4(6d10),60'(20'),6(13),1-1,1,weapon,Weapon,F0,7,5,Extended infravision 90'. -1 to hit in sunlight.
"Golem, Amber",L1,1(1),180'(60'),6(13),10,3,claws/bite,2d6/2d6/2d10,F5,12,"3,100","Magic weapons to hit. Immune to hold, charm, sleep, poison, gas."
"Golem, Bone",L1,1(1),120'(40'),2(17),8,4,weapons,Weapons,F4,12,"2,065","As Amber golem above + immune to electricity, fire, cold."
"Golem, Bronze",L1,1(1),240'(80'),0(19),20,1,fist,3d10,F10,12,"4,250",As Amber golem + edged weapon hits 2d6Dam to wielder (SNeg).
"Golem, Clay",L2,1(0),60'(20'),7(12),11,1,fist,3d10,F11,12,"3,000",As Amber golem + immune to edged weapons. Non-healing wounds.
"Golem, Flesh",L2,1(0),90'(30'),9(10),9,2,fists,2d8/2d8,F9,12,"2,400",As Amber golem + electrical damage regenerates 1hp/dice.
"Golem, Iron",L2,1(0),60'(20'),3(16),18,1,fist,4d10,F18,12,"5,250",+3 weapons to hit. Gas breath 10'3 (SorD). Fire repairs it.
"Golem, Stone",L2,1(0),60'(20'),5(14),14,1,fist,3d8,F14,12,"4,200",+2 weapons to hit. May cast Slow 1/2rds R10'. Many immunities.
"Golem, Wood",L1,1(1),120'(40'),7(12),2+2,1,fist,1d8,F1,12,59,"As Amber golem + clumsy -1 initiative, -2 to fire saves."
Gorbel,FF,1d20(1d20),180'(60'),3(16),2,1,claws,1d4,F2,12,38,Edged weapon hit bursts it 1d4Dam 5'R. Claws ongoing 1d6Dam.
Gorgon,L1,1d2(1d4),120'(40'),2(17),8,1,gore,2d6,F8,8,"1,060",Breath turns to stone R60'x10' (SNeg).
Gorgimera,M2,1(1),150'(50'),2(17),10,5,claws/bites,1d3/1d3/2d4/2d6/3d4,F10,10,"2,400","Lion AC5. Breath 2/day petrify R30'x10', fire R50'x20 3d8Dam."
Gorilla Bear,FF,1d6+1(1d6+1),90'(30'),4(15),4,2,claws,1d8/1d8,F4,8,190,A claw hit of 18+ adds 2d6Dam hug.
Gray Ooze,L1,1(1),10'(3'),8(11),3,1,acid slam,2d8,F2,12,80,Damage is against unarmoured victims. Acid disolves armour in 1 turn.
Gray Worm,L1,1d3(1d3),60'(20'),6(13),6,1,bite,1d8,F3,9,570,Surprised on 1. A hit of 19+ swallows whole 1d8Dam/rd.
Green Slime,L1,1(0),3'(1'),N/A,2,1,slime,Digestion,F1,12,38,"Digests clothes/armour in 6rds, flesh in 1d4rds. Only fire kills."
Griffon,L1,0(2d8),F360'(120'),5(14),7,3,claws/bite,1d4/1d4/2d8,F4,8,440,Ground movement 120'(40').
Grippli,M2,1d10(5d6),90'(30'),9(10),1+1,1,weapon,1d4,F1,7,21,Surprises on 1-4. Movement in trees 150'(50'). Ultravision 100'.
Groaning Spirit,L2,1(1),150'(50'),0(19),7,1,touch,1d8 cold,F7,10,"1,490",Sighting causes fear (SNeg). Immune to sleep and charm.
Gryph2HD,FF,1d6(1d6),F210'(70'),6(13),2,1,bite,2d6,F2,8,20,Females use a 0Dam grapple attack to pin victim and inject eggs.
Gryph3HD,FF,1d6(1d6),F210'(70'),6(13),3,1,bite,2d6,F3,8,50,Females use a 0Dam grapple attack to pin victim and inject eggs.
Gryph4HD,FF,1d6(1d6),F210'(70'),6(13),4,1,bite,2d6,F4,8,80,Females use a 0Dam grapple attack to pin victim and inject eggs.
Halfling,L1,3d6(5d8),90'(30'),7(12),1-1,1,weapon,Weapon,H1,7,5,Village (3d10x10) 1d6+1 level leader + 5d4 2HD militia.
Harpy,L1,1d6(2d4),F150'(50'),7(12),3,3,claws/weapon,1d4/1d4/weapon,F3,7,80,Song charms (SNeg). Harpies get +2 to all saves.
Haunt,M2,1(1),60'(20'),0(19),5,1,strangle,Special,F5,8,650,"Drains 2DEX/rd possess victim at 0. Strangle 1,2,4,8etc.Dam."
Hawk,L1,0(1d6),F480'(160'),8(11),½,1,bite,1d2,F0,7,5,May swoop at a surprised opponent doing 2xDam on a hit.
"Hawk, Giant",L1,0(1d3),F450'(150'),6(13),3+3,1,bite,1d6,F2,8,65,May swoop at a surprised opponent doing 2xDam on a hit.
Hell Hound3HD,L1,2d4(2d4),120'(40'),4(15),3,1,bite,1d6,F3,9,80,Breathe fire R10' 3d6Dam (S½). Detect invisible R60' 75%.
Hell Hound4HD,L1,2d4(2d4),120'(40'),4(15),4,1,bite,1d6,F4,9,190,Breathe fire R10' 4d6Dam (S½). Detect invisible R60' 75%.
Hell Hound5HD,L1,2d4(2d4),120'(40'),4(15),5,1,bite,1d6,F5,9,500,Breathe fire R10' 5d6Dam (S½). Detect invisible R60' 75%.
Hell Hound6HD,L1,2d4(2d4),120'(40'),4(15),6,1,bite,1d6,F6,9,820,Breathe fire R10' 6d6Dam (S½). Detect invisible R60' 75%.
Hell Hound7HD,L1,2d4(2d4),120'(40'),4(15),7,1,bite,1d6,F7,9,"1,140",Breathe fire R10' 7d6Dam (S½). Detect invisible R60' 75%.
Herd Animal1HD,L1,0(3d10),240'(80'),7(12),1,1,butt,1d4,F1,5,10,Smaller species including the caribou.
Herd Animal2HD,L1,0(3d10),240'(80'),7(12),2,1,butt,1d4,F1,5,20,Small-medium species including cattle.
Herd Animal3HD,L1,0(3d10),240'(80'),7(12),3,1,butt,1d6,F2,5,50,Medium-larger species including the buffalo.
Herd Animal4HD,L1,0(3d10),240'(80'),7(12),4,1,butt,1d8,F2,5,80,Largest species including the moose.
Hippocampus,L2,2d4(2d4),S240'(80'),5(14),4,1,kick,1d4,F4,8,80,
Hippogriff,L1,0(2d8),F360'(120'),5(14),3+1,3,claws/bite,1d6/1d6/1d10,F2,8,65,Ground movement 180'(60').
Hoar Fox,FF,1d6(1d6),150'(50'),6(13),2,1,bite,1d6,F2,7,38,"Cold breath R30' 2d6Dam(S½). Immune to cold, fire does x2."
Hobgoblin,L1,1d6(4d6),90'(30'),6(13),1+1,1,weapon,Weapon,F1,8,15,"King 5HD 22hp, 1d4 bodyguards 4HD 3d6hp, all morale 10."
Homunculus,L2,1(0),F180'(60'),6(13),2,1,bite,1d3+sleep,Varies,11,38,Bite causes sleep for 5d6turns (SNeg). Ground movement 60'(20').
"Hornet, Giant",FF,1(1),F240'(80'),2(17),5,1,sting,1d4+poison,F5,10,350,Poison incapacitates for 2d6turns + 5d6Dam (SNeg).
"Horse, Riding",L1,0(1d10x10),240'(80'),7(12),2,2,hooves,1d4/1d4,F1,7,20,Carries upto 300lbs or upto 600lbs at half movement.
"Horse, War",L1,0(0),120'(40'),7(12),3,2,hooves,1d6/1d6,F2,9,50,Carries upto 400lbs or upto 800lbs at half movement.
"Horse, Draft",L1,0(0),90'(30'),7(12),3,0,0,0,F2,6,50,Carries upto 450lbs or upto 900lbs at half movement.
Hound of Ill Omen,FF,1(1),0'(0'),NA,NA,1,howl,Special,NA,NA,NA,Victim takes 4xDam from next 1d10 hits (SNeg).
Huecuva,FF,1d10(1d10),90'(30'),3(16),2,1,fist,1d6+disease,F2,12,47,Silver weapons to hit. Polymorph self. Turns as 3HD. Disease (SNeg).
Hydra5HD,L1,1(1),120'(40'),5(14),5,5,bites,1d10each,F5,9,200,8hp/head. Hydra dies when all heads reach 0hp.
Hydra6HD,L1,1(1),120'(40'),5(14),6,6,bites,1d10each,F6,9,320,8hp/head. Hydra dies when all heads reach 0hp.
Hydra7HD,L1,1(1),120'(40'),5(14),7,7,bites,1d10each,F7,9,440,8hp/head. Hydra dies when all heads reach 0hp.
Hydra8HD,L1,1(1),120'(40'),5(14),8,8,bites,1d10each,F8,9,560,8hp/head. Hydra dies when all heads reach 0hp.
Hydra9HD,L1,1(1),120'(40'),5(14),9,9,bites,1d10each,F9,9,"1,000",8hp/head. Hydra dies when all heads reach 0hp.
Hydra10HD,L1,1(1),120'(40'),5(14),10,10,bites,1d10each,F10,9,"1,000",8hp/head. Hydra dies when all heads reach 0hp.
Hydra11HD,L1,1(1),120'(40'),5(14),11,11,bites,1d10each,F11,9,"1,200",8hp/head. Hydra dies when all heads reach 0hp.
Hydra12HD,L1,1(1),120'(40'),5(14),12,12,bites,1d10each,F12,9,"1,200",8hp/head. Hydra dies when all heads reach 0hp.
Hyena,L2,2d6(2d6),120'(40'),7(12),3,1,bite,2d4,F3,9,50,
"Hyena, Giant",L2,2d4(2d4),120'(40'),7(12),5,1,bite,3d4,F5,9,200,
Insect Swarm2HD,L1,1(3),F60'(20'),7(12),2,1,bites,2,F0,11,29,Always hits. Immune to weapons. Torch does 1d4Dam.
Insect Swarm3HD,L1,1(3),F60'(20'),7(12),3,1,bites,2,F0,11,65,Always hits. Immune to weapons. Torch does 1d4Dam.
Insect Swarm4HD,L1,1(3),F60'(20'),7(12),4,1,bites,2,F0,11,135,Always hits. Immune to weapons. Torch does 1d4Dam.
Invisible Stalker,L1,1(1),120'(40'),3(16),8,1,fist,4d4,F8,12,"1,060",Surprises on 1-5.
Iron Cobra,FF,1(1),120'(40'),0(19),1,1,bite,1d3+poison,F1/M12,12,16,Poison (SorD-2). Makes spell saves as M12.
Jackal,L2,1d6(2d4),150'(50'),7(12),½,1,bite,1d2,F1,7,5,
Jackalwere,L2,1d4(1d4),120'(40'),4(15),4,1,bite/weapon,2d4/weapon,F4,9,190,+1/iron weapons to hit. Sleep gaze (SNeg).
Jaculi,FF,1d10+10(1d10+10),90'(30'),6(13),1,1,impale,1d6,F1,8,13,Surprises on 1-4. Only gets 1 attack from its perch.
Kamadan,FF,1(1),180'(60'),4(15),4+2,3,claws/bite,1d3/1d3/1d6,F4,8,235,+4-7 snake heads 1d4Dam. Sleep breath R30'x10' ≤4HD(NS).
Kampfult,M2,1(1),30'(10'),4(15),2,6,vines,1each,F2,12,29,Surprises on 1-3. Ongoing 1Dam/rd from each vine that hits.
Kech,M2,2d4(2d4),150'(50'),4(15),5,3,claws/bite,1d4+1/1d4+1/1d6,F5,8,650,Surprises on 1-5. Camouflage. Move silently 50%.
Kelpie,FF,1d4(1d4),S120'(40'),3(16),5,0,,0,F5,7,350,Charm 1/day causes a male victim to drown himself.
Khargra,FF,1d6(1d6),B150'(50'),-3(22),6,1,bite,3d6,F6,10,"1,070",Surprises on 1-5. Must hit with 1 of 3 arms (0Dam) to bite.
Killmoulis,FF,1d3(1d3),150'(50'),6(13),½,0,,0,F0,5,6,Hiding 90% chance of success.
Kobold,L1,4d4(6d10),60'(20'),7(12),½,1,weapon,Weapon-1,F0,6,5,Extended infravision R90'.
Korred,M2,1d4(1d4),90'(30'),5(14),6+1,1,weapon,Weapon+4,F6,10,"1,880",Throw rocks R100' 2d8Dam. Laugh R60'. Spell-like abilities.
Lamia,L2,1(1),240'(80'),3(16),9,1,weapon,Weapon,F9,9,"4,500",Touch drains 1WIS. Spell-like abilities.
Lammasu,L2,2d4(2d4),F240'(80'),6(13),7+7,2,claws,1d6/1d6,F7,9,"1,300",Constant protection from evil 10'R. Cleric spells.
Land Lamprey,M2,2d6(2d6),120'(40'),7(12),1+2,1,bite,1,F1,12,21,Drains blood 1Dam/rd(max 3rds). Death/fire removes.
Lava Child,FF,3d6(3d6),90'(30'),4(15),4,3,claws/bite,1d6/1d6/2d6,F4,9,190,Immune to fire. Immune to metal and ignore armour.
"Leech, Giant",L1,0(1d4),S120'(40'),7(12),6,1,blood drain,1d6/round,F3,10,570,Once a leech hits blood drain damage is 1d6/round.
Leprechaun,L2,1(1d20),150'(50'),8(11),2-5hp,0,,0,M1,6,6,Spell-like abilities.
Lich,L2,1(1),60'(20'),0(19),12+,1,touch,1d10cold,M18+,9,"4,400+",Magic weapons to hit. Touch paralyzes (SNeg). Spell use.
"Lizard, Gt.Draco",L1,1d4(1d8),120'(40'),5(14),4+2,1,bite,1d10,F3,7,215,Able to glide at 210'(70').
"Lizard, Gt.Gecko",L1,1d6(1d10),120'(40'),5(14),3+1,1,bite,1d8,F2,7,100,May climb sheer surfaces.
"Lizard, Gt.Horned(Chameleon)",L1,1d3(1d6),120'(40'),2(17),5,2,bite/horn,2d4/1d6,F3,7,800,Surprises on 1-5. Sticky tongue R5'. Tails knocks victims down.
"Lizard, Gt.Tuatara",L1,1d2(1d4),90'(30'),4(15),6,3,claws/bite,1d4/1d4/2d6,F4,6,570,Extended infravision R90'.
"Lizard, Gt.Fire",M1,1d4(1d4),90'(30'),3(16),10,3,claws/bite,1d6/1d6/2d8,F10,8,"1,700",Fire breath R15'x10' 2d6Dam (S½).
Lizardfolk,L1,2d4(6d6),S120'(40'),5(14),2+1,1,weapon,Weapon+1,F2,12,47,Ground movement 60'(20').
Locathah,L2,3d4(2d10x10),S120'(40'),6(13),2,1,weapon,Weapon,F2,9,20,In a group of 30+ 1 4HD leader and 1d4 3HD captains.
"Locust, Subterranean",L1,2d10(1d10),F180'(60'),4(15),2,1,bite/slam/spit,1d2/1d4/special,F2,5,38,Spit R10' incapacitates for 1turn (SNeg). Noise attracts monsters.
Lurker Above,L2,1(1d4),F90'(30'),6(13),10,1,crush,1d6,F10,12,"1,700",Surprises on 1-4. Victims suffocate in 1d4+1rds.
"Lycanthrope, Werebear",L1,1d4(1d4),120'(40'),2(17),6,3,claws/bite,2d4/2d4/2d8,F6,10,"1,070",Silver weapons to hit. +2d8Dam if both claws hit.
"Lycanthrope, Wereboar",L1,1d4(2d4),150'(50'),4(15),4+1,1,tusks,2d6,F4,9,365,Silver weapons to hit. +2 to hit and morale 12 if enraged.
"Lycanthrope, Wererat",L1,1d8(2d6),120'(40'),7(12),3,1,bite/weapon,1d4/weapon,F3,8,95,Silver weapons to hit. Surprises on 1-4.
"Lycanthrope, Wereshark",M2,1(1),S210'(70'),0(19),10,1,bite,5d4,F10,10,"2,400",Silver weapons to hit. Ground movement 120'(40').
"Lycanthrope, Weretiger",L1,1d4(1d4),150'(50'),3(16),5,3,claws/bite,1d6/1d6/2d6,F5,9,650,Silver weapons to hit. Surprises on 1-4.
"Lycanthrope, Werewolf",L1,1d6(2d6),180'(60'),5(14),4,1,bite,2d4,F4,8,190,Silver weapons to hit.
Magnesium Spirit,FF,1(1),360'(120'),0(19),6+1,1,slam,3d4+level drain,F6,9,"1,580",Silver weapons to hit. Blinding flash R20'. Merge with victim in 2rds.
Mandragora1+1HD,M2,3d6(3d6),120'(40'),5(14),1+1,2,tentacles,1d4/1d4,F1,8,21,On a 20 hits throat ongoing 1d4Dam/rd. Fire resistance 50%.
